f1_rank,cfg_id,val_f1,val_acc,val_auc,lr,dropout,hidden,num_layers
1,lr1e-04_do0.3_h128_nl2,0.8483,0.9227,0.9702,0.0001,0.3,128,2
2,lr1e-04_do0.2_h256_nl2,0.8477,0.9274,0.966,0.0001,0.2,256,2
3,lr1e-03_do0.5_h64_nl2,0.8464,0.9227,0.9547,0.001,0.5,64,2
4,lr1e-03_do0.3_h256_nl2,0.844,0.9196,0.9642,0.001,0.3,256,2
5,lr1e-03_do0.2_h128_nl2,0.8411,0.9196,0.9629,0.001,0.2,128,2
6,lr1e-04_doNA_h128_nl1,0.8318,0.9132,0.9549,0.0001,0.0,128,1
7,lr1e-03_do0.3_h128_nl2,0.8288,0.9101,0.9645,0.001,0.3,128,2
8,lr1e-04_do0.2_h128_nl2,0.8286,0.9243,0.9697,0.0001,0.2,128,2
9,lr1e-03_do0.5_h128_nl2,0.8282,0.9117,0.9651,0.001,0.5,128,2
10,lr1e-03_doNA_h256_nl1,0.8276,0.9132,0.9544,0.001,0.0,256,1
11,lr1e-04_do0.5_h64_nl2,0.8218,0.9022,0.9456,0.0001,0.5,64,2
12,lr5e-04_do0.5_h128_nl2,0.8179,0.9101,0.9561,0.0005,0.5,128,2
13,lr1e-03_do0.2_h256_nl2,0.8123,0.9132,0.9617,0.001,0.2,256,2
14,lr5e-04_do0.3_h64_nl2,0.8098,0.9022,0.9497,0.0005,0.3,64,2
15,lr5e-04_doNA_h64_nl1,0.8084,0.8991,0.9395,0.0005,0.0,64,1
16,lr1e-04_do0.3_h256_nl2,0.8081,0.8959,0.9596,0.0001,0.3,256,2
17,lr5e-04_do0.5_h256_nl2,0.8073,0.9164,0.9591,0.0005,0.5,256,2
18,lr1e-04_do0.5_h256_nl2,0.8072,0.8991,0.9499,0.0001,0.5,256,2
19,lr1e-04_do0.5_h128_nl2,0.8053,0.9069,0.9536,0.0001,0.5,128,2
20,lr5e-04_do0.3_h128_nl2,0.8,0.9022,0.9583,0.0005,0.3,128,2
21,lr1e-03_do0.3_h64_nl2,0.7987,0.8991,0.9477,0.001,0.3,64,2
22,lr1e-03_doNA_h128_nl1,0.7975,0.8975,0.9554,0.001,0.0,128,1
23,lr5e-04_do0.3_h256_nl2,0.7922,0.8991,0.9522,0.0005,0.3,256,2
24,lr1e-04_do0.3_h64_nl2,0.7915,0.8912,0.9518,0.0001,0.3,64,2
25,lr5e-04_do0.5_h64_nl2,0.7911,0.8959,0.9473,0.0005,0.5,64,2
26,lr5e-04_do0.2_h256_nl2,0.7898,0.8959,0.9408,0.0005,0.2,256,2
27,lr1e-04_doNA_h256_nl1,0.7885,0.8959,0.9454,0.0001,0.0,256,1
28,lr1e-03_do0.2_h64_nl2,0.7883,0.8975,0.952,0.001,0.2,64,2
29,lr5e-04_do0.2_h128_nl2,0.7832,0.8943,0.9504,0.0005,0.2,128,2
30,lr5e-04_do0.2_h64_nl2,0.7832,0.8943,0.9467,0.0005,0.2,64,2
31,lr1e-03_do0.5_h256_nl2,0.7821,0.8927,0.9609,0.001,0.5,256,2
32,lr1e-04_do0.2_h64_nl2,0.7786,0.9022,0.9534,0.0001,0.2,64,2
33,lr1e-04_doNA_h64_nl1,0.7752,0.8912,0.9423,0.0001,0.0,64,1
34,lr5e-04_doNA_h128_nl1,0.7731,0.8722,0.9448,0.0005,0.0,128,1
35,lr1e-03_doNA_h64_nl1,0.7596,0.8722,0.9476,0.001,0.0,64,1
36,lr5e-04_doNA_h256_nl1,0.7539,0.8517,0.9541,0.0005,0.0,256,1
